X,adj,noun,session,n,adj_stem,noun_stem,article,network_id,attncheckscore,x1,x2,x3,x4,x5,range,mean_typ
1,brown,cow,1,14,brown,cow,a,44,1,4,3,4,3,NA,1,3.5
2,red,apple,1,14,red,appl,an,102,1,7,5,6,3,NA,2,5.25
3,purple,cup,1,13,purpl,cup,a,40,1,3,3,2,3,NA,0,2.75
4,green,frog,1,12,green,frog,a,76,1,6,6,7,NA,NA,0,6.333333333333333
5,purple,cat,1,12,purpl,cat,a,99,1,2,1,1,1,NA,1,1.25
6,yellow,duck,1,12,yellow,duck,a,10,1,6,3,5,6,NA,3,5
7,red,bird,1,11,red,bird,a,99,1,2,3,3,2,NA,1,2.5
8,red,nose,1,10,red,nose,a,82,1,2,2,1,3,NA,0,2
9,wet,hand,1,10,wet,hand,a,70,1,4,2,3,3,NA,2,3
10,brown,bear,1,7,brown,bear,a,30,1,6,5,3,6,NA,1,5
11,green,dog,1,6,green,dog,a,47,1,2,1,1,1,NA,1,1.25
12,green,guy,1,6,green,gui,a,102,1,1,1,1,1,NA,0,1
13,yellow,circle,1,6,yellow,circl,a,39,1,3,3,6,NA,NA,0,4
14,yellow,sun,1,6,yellow,sun,a,61,1,7,6,7,7,NA,1,6.75
15,bright,day,1,5,bright,dai,a,19,1,5,7,6,4,NA,2,5.5
16,green,ball,1,5,green,ball,a,82,1,3,3,3,3,NA,0,3
17,green,star,1,5,green,star,a,56,1,1,3,5,3,NA,2,3
18,naked,baby,1,5,nake,babi,a,37,1,5,4,3,NA,NA,1,4
19,red,block,1,5,red,block,a,25,1,3,5,4,3,NA,2,3.75
20,red,light,1,5,red,light,a,45,1,3,5,3,3,NA,2,3.5
21,bright,fire,1,4,bright,fire,a,4,1,6,7,5,5,NA,1,5.75
22,bright,light,1,4,bright,light,a,4,1,3,5,5,4,NA,2,4.25
23,bright,night,1,4,bright,night,a,74,1,2,2,2,3,NA,0,2.25
24,brown,page,1,4,brown,page,a,39,1,2,2,4,NA,NA,0,2.6666666666666665
25,fat,girl,1,4,fat,girl,a,25,1,3,3,3,3,NA,0,3
26,green,circle,1,4,green,circl,a,16,1,3,3,3,3,NA,0,3
27,red,ball,1,4,red,ball,a,6,1,3,5,6,NA,NA,2,4.666666666666667
28,red,barn,1,4,red,barn,a,47,1,6,3,5,5,NA,3,4.75
29,red,car,1,4,red,car,a,12,1,3,3,3,3,NA,0,3
30,red,cup,1,4,red,cup,a,55,1,4,3,6,2,NA,1,3.75
31,red,dog,1,4,red,dog,a,37,1,2,3,2,NA,NA,1,2.3333333333333335
32,red,pole,1,4,red,pole,a,31,1,2,2,3,3,NA,0,2.5
33,red,scarf,1,4,red,scarf,a,29,1,3,3,4,3,NA,0,3.25
34,rubber,duck,1,4,rubber,duck,a,69,1,3,5,3,3,NA,2,3.5
35,yellow,balloon,1,4,yellow,balloon,a,54,1,5,3,3,3,NA,2,3.5
36,yellow,cow,1,4,yellow,cow,a,70,1,1,1,1,1,NA,0,1
37,dirty,dish,1,3,dirti,dish,a,99,1,4,4,4,4,NA,0,4
38,green,button,1,3,green,button,a,98,1,3,2,2,NA,NA,1,2.3333333333333335
39,pink,ball,1,3,pink,ball,a,43,1,3,3,1,3,NA,0,2.5
40,pink,pig,1,3,pink,pig,a,57,1,5,6,5,6,NA,1,5.5
41,rainy,day,1,3,raini,dai,a,82,1,4,3,3,3,NA,1,3.25
42,red,balloon,1,3,red,balloon,a,36,1,3,3,4,3,NA,0,3.25
43,red,circle,1,3,red,circl,a,75,1,3,3,2,3,NA,0,2.75
44,rocky,rock,1,3,rocki,rock,a,78,1,5,7,6,6,NA,2,6
45,yellow,triangle,1,3,yellow,triangl,a,63,1,3,4,2,2,NA,1,2.75
46,yellow,truck,1,3,yellow,truck,a,79,1,3,2,2,3,NA,1,2.5
47,brown,horse,1,2,brown,hors,a,40,1,4,5,5,5,NA,1,4.75
48,dirty,diaper,1,2,dirti,diaper,a,80,1,4,6,5,3,NA,2,4.5
49,dirty,finger,1,2,dirti,finger,a,91,1,3,3,4,NA,NA,0,3.3333333333333335
50,dirty,honey,1,2,dirti,honei,NA,44,1,1,2,2,1,NA,1,1.5
51,furry,arm,1,2,furri,arm,an,95,1,6,3,5,4,NA,3,4.5
52,furry,cat,1,2,furri,cat,a,15,1,6,3,5,6,NA,3,5
53,giant,puppet,1,2,giant,puppet,a,33,1,1,2,2,2,NA,1,1.75
54,green,box,1,2,green,box,a,8,1,3,3,3,2,NA,0,2.75
55,green,cup,1,2,green,cup,a,59,1,6,4,3,2,NA,2,3.75
56,green,field,1,2,green,field,a,69,1,6,6,6,3,NA,0,5.25
57,green,fish,1,2,green,fish,a,51,1,2,3,2,3,NA,1,2.5
58,green,hoop,1,2,green,hoop,a,80,1,2,3,2,2,NA,1,2.25
59,green,lego,1,2,green,lego,a,26,1,3,3,3,3,NA,0,3
60,hot,cup,1,2,hot,cup,a,99,1,3,3,3,3,NA,0,3
61,hot,day,1,2,hot,dai,a,36,1,3,4,3,3,NA,1,3.25
62,hot,water,1,2,hot,water,NA,92,1,6,5,5,4,NA,1,5
63,orange,ball,1,2,orang,ball,a,93,1,3,2,3,4,NA,1,3
64,orange,ball,1,2,orang,ball,a,93,1,3,2,3,4,NA,1,3
65,orange,circle,1,2,orang,circl,a,31,1,3,3,3,3,NA,0,3
66,pink,shoe,1,2,pink,shoe,a,15,1,2,2,3,3,NA,0,2.5
67,plastic,cup,1,2,plastic,cup,a,13,1,5,5,5,6,NA,0,5.25
68,purple,ball,1,2,purpl,ball,a,23,1,2,3,3,3,NA,1,2.75
69,purple,honey,1,2,purpl,honei,NA,7,1,1,1,1,1,NA,0,1
70,red,clock,1,2,red,clock,a,79,1,3,2,3,2,NA,1,2.5
71,red,skin,1,2,red,skin,NA,16,1,2,3,3,2,NA,1,2.5
72,red,star,1,2,red,star,a,17,1,2,3,3,3,NA,1,2.75
73,red,wheel,1,2,red,wheel,a,83,1,3,3,3,3,NA,0,3
74,sweet,baby,1,2,sweet,babi,a,2,1,3,5,3,4,NA,2,3.75
75,yellow,ball,1,2,yellow,ball,a,76,1,3,3,3,NA,NA,0,3
76,yellow,banana,1,2,yellow,banana,a,75,1,5,5,7,6,NA,0,5.75
77,yellow,block,1,2,yellow,block,a,87,1,3,2,2,4,NA,1,2.75
78,yellow,bus,1,2,yellow,bu,a,63,1,3,6,5,4,NA,3,4.5
79,yellow,cup,1,2,yellow,cup,a,57,1,3,3,3,3,NA,0,3
80,yellow,school,1,2,yellow,school,a,20,1,2,3,2,3,NA,1,2.5
81,yellow,star,1,2,yellow,star,a,77,1,5,3,3,6,NA,2,4.25
82,back,door,1,1,back,door,a,2,1,3,4,3,3,NA,1,3.25
83,back,garden,1,1,back,garden,a,106,1,2,3,4,3,NA,1,3
84,blonde,hair,1,1,blond,hair,a,2,1,3,3,3,3,NA,0,3
85,bottom,shelf,1,1,bottom,shelf,a,35,1,3,5,3,2,NA,2,3.25
86,bright,heel,1,1,bright,heel,a,26,1,4,4,3,2,NA,0,3.25
87,bright,star,1,1,bright,star,a,3,1,7,6,6,7,NA,1,6.5
88,brown,bird,1,1,brown,bird,a,77,1,5,3,3,3,NA,2,3.5
89,brown,cat,1,1,brown,cat,a,76,1,3,4,4,NA,NA,1,3.6666666666666665
90,brown,duck,1,1,brown,duck,a,78,1,4,4,3,5,NA,0,4
91,brown,frog,1,1,brown,frog,a,39,1,2,3,5,NA,NA,1,3.3333333333333335
92,brown,goldfish,1,1,brown,goldfish,a,46,1,5,2,3,3,1,3,2.8
93,brown,hair,1,1,brown,hair,a,87,1,5,4,3,5,NA,1,4.25
94,brown,sheep,1,1,brown,sheep,a,78,1,5,4,3,2,NA,1,3.5
95,curly,boy,1,1,curli,boi,a,107,1,1,1,2,3,NA,0,1.75
96,curly,girl,1,1,curli,girl,a,9,1,1,4,3,1,NA,3,2.25
97,curly,hair,1,1,curli,hair,a,108,1,3,3,3,4,NA,0,3.25
98,dark,floor,1,1,dark,floor,a,10,1,5,3,3,4,NA,2,3.75
99,dark,night,1,1,dark,night,a,10,1,7,7,5,7,NA,0,6.5
100,dark,sky,1,1,dark,sky,a,101,1,4,3,4,5,NA,1,4
101,dirty,bear,1,1,dirti,bear,a,46,1,3,5,6,4,2,2,4
102,dirty,bib,1,1,dirti,bib,a,52,1,6,7,4,NA,NA,1,5.666666666666667
103,dirty,bowl,1,1,dirti,bowl,a,23,1,1,4,4,4,NA,3,3.25
104,dirty,boy,1,1,dirti,boi,a,72,1,3,3,5,3,NA,0,3.5
105,dirty,dog,1,1,dirti,dog,a,52,1,7,5,3,NA,NA,2,5
106,dirty,foot,1,1,dirti,foot,a,65,1,3,4,5,3,NA,1,3.75
107,dirty,hair,1,1,dirti,hair,a,87,1,5,4,3,4,NA,1,4
108,dirty,hand,1,1,dirti,hand,a,100,1,3,4,4,3,NA,1,3.5
109,dirty,kitchen,1,1,dirti,kitchen,a,54,1,3,3,3,4,NA,0,3.25
110,dirty,toast,1,1,dirti,toast,NA,50,1,2,2,1,2,NA,0,1.75
111,fat,finger,1,1,fat,finger,a,100,1,3,5,5,3,NA,2,4
112,fat,pig,1,1,fat,pig,a,86,1,6,6,6,6,NA,0,6
113,fat,squirrel,1,1,fat,squirrel,a,58,1,3,3,3,3,NA,0,3
114,fat,toe,1,1,fat,toe,a,24,1,3,3,2,4,NA,0,3
115,female,crab,1,1,femal,crab,a,89,1,4,4,4,NA,NA,0,4
116,furry,bear,1,1,furri,bear,a,92,1,6,6,6,4,NA,0,5.5
117,furry,gorilla,1,1,furri,gorilla,a,89,1,3,4,7,NA,NA,1,4.666666666666667
118,furry,kiss,1,1,furri,kiss,a,69,1,2,3,2,2,NA,1,2.25
119,furry,puppy,1,1,furri,puppi,a,61,1,6,5,7,5,NA,1,5.75
120,fuzzy,blanket,1,1,fuzzi,blanket,a,13,1,5,5,4,5,NA,0,4.75
121,fuzzy,peach,1,1,fuzzi,peach,a,110,1,3,6,6,5,5,3,5
122,giant,body,1,1,giant,bodi,a,36,1,3,2,2,3,NA,1,2.5
123,green,balloon,1,1,green,balloon,a,79,1,3,3,3,3,NA,0,3
124,green,bear,1,1,green,bear,a,47,1,5,1,1,1,NA,4,2
125,green,bird,1,1,green,bird,a,32,1,2,2,2,5,NA,0,2.75
126,green,car,1,1,green,car,a,61,1,3,5,3,3,NA,2,3.5
127,green,cat,1,1,green,cat,a,81,1,1,1,3,NA,NA,0,1.6666666666666667
128,green,chair,1,1,green,chair,a,50,1,3,3,2,3,NA,0,2.75
129,green,crayon,1,1,green,crayon,a,86,1,5,4,3,4,NA,1,4
130,green,dot,1,1,green,dot,a,97,1,2,5,3,3,NA,3,3.25
132,green,goldfish,1,1,green,goldfish,a,36,1,1,2,2,1,NA,1,1.5
133,green,hat,1,1,green,hat,a,34,1,3,3,2,3,NA,0,2.75
134,green,horse,1,1,green,hors,a,86,1,1,1,1,1,NA,0,1
135,green,leaf,1,1,green,leaf,a,75,1,6,4,5,6,NA,2,5.25
136,green,orange,1,1,green,orang,an,4,1,3,2,1,3,NA,1,2.25
137,green,pea,1,1,green,pea,a,34,1,6,7,5,4,NA,1,5.5
138,green,pepper,1,1,green,pepper,a,6,1,3,4,3,NA,NA,1,3.3333333333333335
139,green,sheep,1,1,green,sheep,a,78,1,2,1,1,1,NA,1,1.25
140,green,square,1,1,green,squar,a,31,1,3,4,3,2,NA,1,3
141,green,sun,1,1,green,sun,a,71,1,1,2,1,1,NA,1,1.25
142,green,triangle,1,1,green,triangl,a,64,1,4,4,2,3,NA,0,3.25
143,hot,bean,1,1,hot,bean,a,73,1,3,3,3,NA,NA,0,3
144,hot,coffee,1,1,hot,coffe,NA,93,1,6,4,4,5,NA,2,4.75
145,hot,door,1,1,hot,door,a,1,1,2,1,2,2,NA,1,1.75
146,hot,fire,1,1,hot,fire,a,63,1,7,7,7,6,NA,0,6.75
147,hot,honey,1,1,hot,honei,NA,30,1,3,3,3,3,NA,0,3
148,hot,radiator,1,1,hot,radiat,a,18,1,3,6,5,6,NA,3,5
149,hot,rice,1,1,hot,rice,NA,87,1,5,4,4,5,NA,1,4.5
150,hot,shirt,1,1,hot,shirt,a,99,1,2,2,1,1,NA,0,1.5
151,hot,soup,1,1,hot,soup,NA,11,1,5,6,5,6,NA,1,5.5
152,orange,balloon,1,1,orang,balloon,a,5,1,2,3,NA,NA,NA,1,2.5
153,orange,bead,1,1,orang,bead,a,76,1,3,3,3,NA,NA,0,3
154,orange,boy,1,1,orang,boi,a,2,1,1,1,1,1,NA,0,1
155,orange,car,1,1,orang,car,a,109,1,3,3,2,5,NA,0,3.25
156,orange,carrot,1,1,orang,carrot,a,83,1,6,6,6,5,NA,0,5.75
157,orange,dress,1,1,orang,dress,a,58,1,3,3,3,3,NA,0,3
158,orange,drink,1,1,orang,drink,a,34,1,2,3,3,3,NA,1,2.75
159,orange,flower,1,1,orang,flower,a,93,1,2,3,3,3,NA,1,2.75
160,orange,guy,1,1,orang,gui,a,72,1,3,1,2,1,NA,2,1.75
161,orange,slice,1,1,orang,slice,a,108,1,3,3,5,3,NA,0,3.5
162,orange,star,1,1,orang,star,a,9,1,1,2,1,3,NA,1,1.75
163,pink,balloon,1,1,pink,balloon,a,4,1,5,3,3,3,NA,2,3.5
164,pink,bottle,1,1,pink,bottl,a,66,1,7,5,3,2,NA,2,4.25
165,pink,cookie,1,1,pink,cooki,a,103,1,1,4,2,2,NA,3,2.25
166,pink,dot,1,1,pink,dot,a,103,1,3,4,3,3,NA,1,3.25
167,pink,nail,1,1,pink,nail,a,107,1,3,1,3,2,NA,2,2.25
168,pink,rattle,1,1,pink,rattl,a,10,1,5,3,3,3,NA,2,3.5
169,pink,slipper,1,1,pink,slipper,a,57,1,3,3,3,3,NA,0,3
170,purple,balloon,1,1,purpl,balloon,a,29,1,3,3,3,2,NA,0,2.75
171,purple,basket,1,1,purpl,basket,a,70,1,2,2,3,2,NA,0,2.25
172,purple,bead,1,1,purpl,bead,a,17,1,3,2,4,3,NA,1,3
173,purple,bear,1,1,purpl,bear,a,96,1,1,1,1,NA,NA,0,1
174,purple,bird,1,1,purpl,bird,a,17,1,2,3,1,2,NA,1,2
175,purple,book,1,1,purpl,book,a,99,1,3,2,2,2,NA,1,2.25
176,purple,door,1,1,purpl,door,a,64,1,2,1,2,2,NA,1,1.75
177,purple,duck,1,1,purpl,duck,a,61,1,1,1,1,1,NA,0,1
179,purple,frog,1,1,purpl,frog,a,83,1,2,2,2,1,NA,0,1.75
180,purple,goldfish,1,1,purpl,goldfish,a,54,1,2,1,2,1,NA,1,1.5
181,purple,grape,1,1,purpl,grape,a,21,1,4,4,4,6,NA,0,4.5
182,purple,guy,1,1,purpl,gui,a,17,1,1,1,1,1,NA,0,1
183,purple,hand,1,1,purpl,hand,a,73,1,2,2,1,NA,NA,0,1.6666666666666667
184,purple,hat,1,1,purpl,hat,a,18,1,3,3,4,3,NA,0,3.25
185,purple,horse,1,1,purpl,hors,a,21,1,1,1,1,1,NA,0,1
186,purple,paper,1,1,purpl,paper,a,79,1,2,3,2,3,NA,1,2.5
187,purple,pentagon,1,1,purpl,pentagon,a,80,1,3,3,2,3,NA,0,2.75
188,purple,plum,1,1,purpl,plum,a,14,1,5,4,5,NA,NA,1,4.666666666666667
189,purple,puppy,1,1,purpl,puppi,a,24,1,1,1,1,1,NA,0,1
190,purple,sheep,1,1,purpl,sheep,a,18,1,1,1,1,1,NA,0,1
191,purple,snail,1,1,purpl,snail,a,70,1,2,3,2,1,NA,1,2
192,purple,square,1,1,purpl,squar,a,90,1,2,2,3,3,3,0,2.6
193,purple,triangle,1,1,purpl,triangl,a,52,1,1,3,1,NA,NA,2,1.6666666666666667
194,purple,trunk,1,1,purpl,trunk,a,101,1,3,1,2,2,NA,2,2
195,red,bat,1,1,red,bat,a,106,1,1,3,1,1,NA,2,1.5
196,red,bear,1,1,red,bear,a,10,1,1,1,2,4,NA,0,2
197,red,bell,1,1,red,bell,a,16,1,4,2,3,3,NA,2,3
198,red,bin,1,1,red,bin,a,74,1,2,2,2,2,NA,0,2
199,red,blood,1,1,red,blood,NA,71,1,7,7,6,7,NA,0,6.75
200,red,bucket,1,1,red,bucket,a,110,1,3,3,4,4,3,0,3.4
201,red,camera,1,1,red,camera,a,52,1,2,2,1,NA,NA,0,1.6666666666666667
202,red,cat,1,1,red,cat,a,6,1,2,2,2,NA,NA,0,2
203,red,crab,1,1,red,crab,a,2,1,5,3,5,7,NA,2,5
204,red,dragon,1,1,red,dragon,a,32,1,4,3,3,2,NA,1,3
205,red,duck,1,1,red,duck,a,92,1,1,2,2,3,NA,1,2
206,red,engine,1,1,red,engin,an,37,1,4,3,2,NA,NA,1,3
207,red,fence,1,1,red,fenc,a,91,1,2,2,3,NA,NA,0,2.3333333333333335
208,red,fire,1,1,red,fire,a,105,1,7,7,6,3,NA,0,5.75
209,red,frog,1,1,red,frog,a,97,1,5,2,2,2,NA,3,2.75
210,red,girl,1,1,red,girl,a,92,1,6,3,4,3,NA,3,4
211,red,goldfish,1,1,red,goldfish,a,70,1,3,3,1,1,NA,0,2
212,red,hair,1,1,red,hair,a,58,1,3,3,2,3,NA,0,2.75
213,red,hat,1,1,red,hat,a,80,1,5,3,3,3,NA,2,3.5
214,red,heart,1,1,red,heart,a,34,1,6,4,7,6,NA,2,5.75
215,red,heel,1,1,red,heel,a,46,1,4,6,2,5,3,2,4
216,red,honey,1,1,red,honei,NA,79,1,2,1,2,3,NA,1,2
217,red,horse,1,1,red,hors,a,31,1,1,1,2,1,NA,0,1.25
218,red,lid,1,1,red,lid,a,25,1,3,3,2,5,NA,0,3.25
219,red,lip,1,1,red,lip,a,96,1,7,5,5,NA,NA,2,5.666666666666667
220,red,machine,1,1,red,machin,a,93,1,3,3,5,3,NA,0,3.5
221,red,nail,1,1,red,nail,a,41,1,3,4,5,NA,NA,1,4
223,red,sheep,1,1,red,sheep,a,46,1,1,1,1,1,1,0,1
224,red,shirt,1,1,red,shirt,a,29,1,3,4,3,3,NA,1,3.25
225,red,snow,1,1,red,snow,NA,9,1,2,1,1,1,NA,1,1.25
226,red,square,1,1,red,squar,a,36,1,3,4,2,3,NA,1,3
227,red,strawberry,1,1,red,strawberri,a,94,1,5,6,5,6,NA,1,5.5
228,red,tomato,1,1,red,tomato,a,51,1,6,6,7,3,NA,0,5.5
229,red,van,1,1,red,van,a,40,1,2,3,2,3,NA,1,2.5
230,round,ball,1,1,round,ball,a,7,1,7,7,6,4,NA,0,6
231,round,circle,1,1,round,circl,a,42,1,7,7,7,7,NA,0,7
232,rubber,band,1,1,rubber,band,a,99,1,3,1,6,4,NA,2,3.5
233,silky,body,1,1,silki,bodi,a,95,1,2,2,3,2,NA,0,2.25
234,silky,web,1,1,silki,web,a,26,1,5,7,5,6,NA,2,5.75
235,silver,ring,1,1,silver,ring,a,86,1,4,4,3,5,NA,0,4
236,slippery,curtain,1,1,slipperi,curtain,a,74,1,2,1,2,1,NA,1,1.5
237,slippery,shower,1,1,slipperi,shower,a,90,1,4,3,3,5,3,1,3.6
238,slippery,sock,1,1,slipperi,sock,a,55,1,2,2,2,1,NA,0,1.75
239,soapy,water,1,1,soapi,water,NA,11,1,5,5,5,5,NA,0,5
240,solid,tomato,1,1,solid,tomato,a,50,1,3,5,4,5,NA,2,4.25
241,square,block,1,1,squar,block,a,48,1,7,5,5,5,NA,2,5.5
242,stormy,night,1,1,stormi,night,a,21,1,3,2,3,2,NA,1,2.5
243,sunny,sun,1,1,sunni,sun,a,19,1,7,7,7,7,NA,0,7
244,tan,car,1,1,tan,car,a,77,1,3,3,3,3,NA,0,3
245,upstairs,phone,1,1,upstair,phone,a,19,1,3,2,4,3,NA,1,3
246,velvety,calf,1,1,velveti,calf,a,35,1,1,3,2,2,NA,2,2
247,wet,curtain,1,1,wet,curtain,a,92,1,5,4,2,3,NA,1,3.5
248,wet,diaper,1,1,wet,diaper,a,94,1,5,3,3,5,NA,2,4
249,wet,kiss,1,1,wet,kiss,a,85,1,4,4,5,3,NA,0,4
250,wet,lady,1,1,wet,ladi,a,79,1,3,3,3,2,NA,0,2.75
251,wet,rain,1,1,wet,rain,NA,81,1,7,7,7,NA,NA,0,7
252,wet,tea,1,1,wet,tea,NA,26,1,5,7,2,6,NA,2,5
253,wet,tummy,1,1,wet,tummi,a,48,1,3,3,3,3,NA,0,3
254,wet,window,1,1,wet,window,a,108,1,3,4,2,3,NA,1,3
256,yellow,bear,1,1,yellow,bear,a,38,1,1,1,2,5,NA,0,2.25
257,yellow,bird,1,1,yellow,bird,a,22,1,3,3,3,3,NA,0,3
258,yellow,blanket,1,1,yellow,blanket,a,76,1,3,3,3,NA,NA,0,3
259,yellow,boot,1,1,yellow,boot,a,93,1,5,3,3,2,NA,2,3.25
260,yellow,cat,1,1,yellow,cat,a,104,1,1,3,5,3,NA,2,3
261,yellow,duckling,1,1,yellow,duckl,a,5,1,5,6,NA,NA,NA,1,5.5
262,yellow,frog,1,1,yellow,frog,a,12,1,2,3,1,4,NA,1,2.5
263,yellow,goldfish,1,1,yellow,goldfish,a,6,1,6,2,5,NA,NA,4,4.333333333333333
264,yellow,guy,1,1,yellow,gui,a,77,1,1,3,3,1,NA,2,2
265,yellow,honey,1,1,yellow,honei,NA,12,1,3,6,4,4,NA,3,4.25
266,yellow,horse,1,1,yellow,hors,a,81,1,1,1,2,NA,NA,0,1.3333333333333333
267,yellow,lemon,1,1,yellow,lemon,a,67,1,6,6,6,5,NA,0,5.75
268,yellow,lid,1,1,yellow,lid,a,23,1,2,3,2,3,NA,1,2.5
269,yellow,page,1,1,yellow,page,a,42,1,3,3,3,3,NA,0,3
270,yellow,pie,1,1,yellow,pie,a,74,1,2,3,3,3,NA,1,2.75
271,yellow,sheep,1,1,yellow,sheep,a,58,1,1,2,1,2,NA,1,1.5
272,red,bird,2,39,red,bird,a,99,1,2,3,3,2,NA,1,2.5
273,hot,day,2,37,hot,dai,a,36,1,3,4,3,3,NA,1,3.25
274,green,frog,2,29,green,frog,a,76,1,6,6,7,NA,NA,0,6.333333333333333
275,sweet,sugar,2,29,sweet,sugar,NA,12,1,6,7,7,7,NA,1,6.75
276,red,circle,2,27,red,circl,a,75,1,3,3,2,3,NA,0,2.75
277,purple,cat,2,18,purpl,cat,a,99,1,2,1,1,1,NA,1,1.25
278,yellow,duck,2,18,yellow,duck,a,10,1,6,3,5,6,NA,3,5
279,red,heart,2,15,red,heart,a,34,1,6,4,7,6,NA,2,5.75
280,yellow,book,2,14,yellow,book,a,57,1,3,3,3,3,NA,0,3
281,bright,feather,2,13,bright,feather,a,49,1,3,4,3,3,NA,1,3.25
282,green,egg,2,13,green,egg,an,107,1,1,1,1,2,NA,0,1.25
283,green,ham,2,12,green,ham,NA,25,1,2,2,1,2,NA,0,1.75
284,hot,air,2,11,hot,air,NA,32,1,3,4,4,4,NA,1,3.75
285,red,apple,2,11,red,appl,an,102,1,7,5,6,3,NA,2,5.25
287,green,tree,2,10,green,tree,a,6,1,5,5,6,NA,NA,0,5.333333333333333
288,orange,cat,2,9,orang,cat,a,22,1,2,3,3,3,NA,1,2.75
289,orange,orange,2,9,orang,orang,an,47,1,7,3,6,6,NA,4,5.5
290,yellow,chick,2,9,yellow,chick,a,23,1,5,6,7,5,NA,1,5.75
291,brown,bear,2,8,brown,bear,a,30,1,6,5,3,6,NA,1,5
292,red,car,2,8,red,car,a,12,1,3,3,3,3,NA,0,3
293,pink,ear,2,7,pink,ear,an,68,1,3,3,4,2,NA,0,3
294,fat,boy,2,6,fat,boi,a,58,1,4,3,4,3,NA,1,3.5
295,green,apple,2,6,green,appl,an,7,1,3,3,6,3,NA,0,3.75
296,green,circle,2,6,green,circl,a,16,1,3,3,3,3,NA,0,3
297,hot,rod,2,6,hot,rod,a,47,1,5,3,2,4,NA,2,3.5
298,red,triangle,2,6,red,triangl,a,66,1,4,6,2,3,NA,2,3.75
299,yellow,bird,2,6,yellow,bird,a,22,1,3,3,3,3,NA,0,3
300,bright,site,2,5,bright,site,a,83,1,3,4,2,4,NA,1,3.25
301,brown,bird,2,5,brown,bird,a,77,1,5,3,3,3,NA,2,3.5
302,brown,horse,2,5,brown,hors,a,40,1,4,5,5,5,NA,1,4.75
303,green,ball,2,5,green,ball,a,82,1,3,3,3,3,NA,0,3
304,green,block,2,5,green,block,a,12,1,2,2,3,3,NA,0,2.5
305,muddy,foot,2,5,muddi,foot,a,21,1,2,3,2,1,NA,1,2
306,purple,bird,2,5,purpl,bird,a,17,1,2,3,1,2,NA,1,2
307,red,fish,2,5,red,fish,a,10,1,3,3,3,7,NA,0,4
308,red,strawberry,2,5,red,strawberri,a,94,1,5,6,5,6,NA,1,5.5
309,yellow,ball,2,5,yellow,ball,a,76,1,3,3,3,NA,NA,0,3
310,yellow,crayon,2,5,yellow,crayon,a,109,1,3,3,3,4,NA,0,3.25
311,brown,tree,2,4,brown,tree,a,108,1,5,5,5,4,NA,0,4.75
312,dirty,hand,2,4,dirti,hand,a,100,1,3,4,4,3,NA,1,3.5
313,fat,food,2,4,fat,food,NA,2,1,1,3,3,4,NA,2,2.75
314,fat,spider,2,4,fat,spider,a,71,1,3,2,3,2,NA,1,2.5
315,green,bird,2,4,green,bird,a,32,1,2,2,2,5,NA,0,2.75
316,green,fish,2,4,green,fish,a,51,1,2,3,2,3,NA,1,2.5
317,green,goldfish,2,4,green,goldfish,a,36,1,1,2,2,1,NA,1,1.5
318,hairy,spider,2,4,hairi,spider,a,89,1,5,4,6,NA,NA,1,5
319,purple,crayon,2,4,purpl,crayon,a,52,1,5,5,2,NA,NA,0,4
320,purple,goldfish,2,4,purpl,goldfish,a,54,1,2,1,2,1,NA,1,1.5
321,purple,plum,2,4,purpl,plum,a,14,1,5,4,5,NA,NA,1,4.666666666666667
322,red,book,2,4,red,book,a,28,1,3,3,3,3,NA,0,3
323,red,cup,2,4,red,cup,a,55,1,4,3,6,2,NA,1,3.75
324,red,goldfish,2,4,red,goldfish,a,70,1,3,3,1,1,NA,0,2
325,red,tree,2,4,red,tree,a,98,1,2,2,2,NA,NA,0,2
326,wet,day,2,4,wet,dai,a,28,1,3,3,3,3,NA,0,3
327,yellow,circle,2,4,yellow,circl,a,39,1,3,3,6,NA,NA,0,4
328,yellow,cup,2,4,yellow,cup,a,57,1,3,3,3,3,NA,0,3
329,yellow,key,2,4,yellow,kei,a,2,1,2,2,2,3,NA,0,2.25
331,bright,sun,2,3,bright,sun,a,47,1,4,5,6,6,NA,1,5.25
332,brown,cat,2,3,brown,cat,a,76,1,3,4,4,NA,NA,1,3.6666666666666665
333,brown,duck,2,3,brown,duck,a,78,1,4,4,3,5,NA,0,4
334,brown,frog,2,3,brown,frog,a,39,1,2,3,5,NA,NA,1,3.3333333333333335
335,brown,goldfish,2,3,brown,goldfish,a,46,1,5,2,3,3,1,3,2.8
336,brown,sheep,2,3,brown,sheep,a,78,1,5,4,3,2,NA,1,3.5
337,flat,tire,2,3,flat,tire,a,57,1,3,2,3,3,NA,1,2.75
338,furry,tummy,2,3,furri,tummi,a,108,1,3,4,3,5,NA,1,3.75
339,green,bear,2,3,green,bear,a,47,1,5,1,1,1,NA,4,2
340,green,cat,2,3,green,cat,a,81,1,1,1,3,NA,NA,0,1.6666666666666667
342,green,horse,2,3,green,hors,a,86,1,1,1,1,1,NA,0,1
343,green,sheep,2,3,green,sheep,a,78,1,2,1,1,1,NA,1,1.25
344,green,star,2,3,green,star,a,56,1,1,3,5,3,NA,2,3
345,hot,water,2,3,hot,water,NA,92,1,6,5,5,4,NA,1,5
346,orange,fish,2,3,orang,fish,a,64,1,4,3,3,3,NA,1,3.25
347,orange,star,2,3,orang,star,a,9,1,1,2,1,3,NA,1,1.75
