X,adj,noun,session,n,adj_stem,noun_stem,article,network_id,attncheckscore,x1,x2,x3,x4,x5,range,mean_typ
2052,yellow,cheese,6,1,yellow,chees,NA,33,1,1,6,6,5,NA,5,4.5
2053,yellow,crust,6,1,yellow,crust,NA,17,1,3,3,3,4,NA,0,3.25
2054,yellow,dish,6,1,yellow,dish,a,19,1,3,3,3,3,NA,0,3
2055,yellow,egg,6,1,yellow,egg,an,61,1,5,2,3,1,NA,3,2.75
2056,yellow,guy,6,1,yellow,gui,a,77,1,1,3,3,1,NA,2,2
2057,yellow,hair,6,1,yellow,hair,a,54,1,3,3,3,2,NA,0,2.75
2058,yellow,lid,6,1,yellow,lid,a,23,1,2,3,2,3,NA,1,2.5
2059,yellow,lizard,6,1,yellow,lizard,a,79,1,3,2,3,3,NA,1,2.75
2060,yellow,paper,6,1,yellow,paper,a,4,1,3,3,3,2,NA,0,2.75
2061,yellow,parrot,6,1,yellow,parrot,a,70,1,3,3,3,3,NA,0,3
2062,yellow,towel,6,1,yellow,towel,a,105,1,5,3,3,3,NA,2,3.5
2063,red,foot,7,48,red,foot,a,19,1,2,1,3,2,NA,1,2
2064,green,soup,7,23,green,soup,NA,29,1,3,3,3,3,NA,0,3
2065,brown,cap,7,11,brown,cap,a,13,1,3,4,3,5,NA,1,3.75
2066,grey,cap,7,11,grei,cap,a,53,1,3,3,5,5,NA,0,4
2067,red,cap,7,11,red,cap,a,82,1,3,3,3,3,NA,0,3
2068,giant,juice,7,10,giant,juic,NA,65,1,2,1,1,1,NA,1,1.25
2069,red,light,7,10,red,light,a,45,1,3,5,3,3,NA,2,3.5
2070,green,foot,7,9,green,foot,a,47,1,1,5,2,1,NA,4,2.25
2071,green,light,7,9,green,light,a,102,1,3,2,2,2,NA,1,2.25
2072,orange,screw,7,9,orang,screw,a,105,1,2,2,1,2,NA,0,1.75
2073,pink,fish,7,9,pink,fish,a,48,1,3,3,3,3,NA,0,3
2074,sunny,day,7,8,sunni,dai,a,30,1,5,5,4,3,NA,0,4.25
2075,yellow,ball,7,7,yellow,ball,a,76,1,3,3,3,NA,NA,0,3
2076,green,egg,7,6,green,egg,an,107,1,1,1,1,2,NA,0,1.25
2077,hot,oven,7,6,hot,oven,an,68,1,4,3,6,4,NA,1,4.25
2078,red,cup,7,6,red,cup,a,55,1,4,3,6,2,NA,1,3.75
2079,flat,piece,7,5,flat,piec,a,38,1,3,3,5,4,NA,0,3.75
2080,green,plate,7,5,green,plate,a,8,1,4,3,3,2,NA,1,3
2081,hot,air,7,5,hot,air,NA,32,1,3,4,4,4,NA,1,3.75
2082,purple,tail,7,5,purpl,tail,a,48,1,2,2,2,2,NA,0,2
2083,red,bird,7,5,red,bird,a,99,1,2,3,3,2,NA,1,2.5
2084,yellow,car,7,5,yellow,car,a,40,1,2,2,3,2,NA,0,2.25
2085,yellow,duckling,7,5,yellow,duckl,a,5,1,5,6,NA,NA,NA,1,5.5
2086,yellow,fish,7,5,yellow,fish,a,85,1,4,3,3,3,NA,1,3.25
2087,yellow,piece,7,5,yellow,piec,a,83,1,3,3,2,3,NA,0,2.75
2088,dead,fish,7,4,dead,fish,a,32,1,2,5,3,4,NA,3,3.5
2089,pink,bunny,7,4,pink,bunni,a,107,1,2,1,3,1,NA,1,1.75
2090,pink,purple,7,4,pink,purpl,a,6,1,3,1,1,NA,NA,2,1.6666666666666667
2091,pink,star,7,4,pink,star,a,27,1,2,2,2,2,NA,0,2
