id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
242,2019-10-10 21:04:44.069639,salty,ocean,,,,f,,{},info,125,12,7
308,2019-10-10 21:05:16.625866,orange,car,,,,f,,{},info,127,109,3
248,2019-10-10 21:04:45.755795,back,garden,,,,f,,{},info,124,106,4
251,2019-10-10 21:04:47.483401,green,shell,,,,f,,{},info,126,53,2
256,2019-10-10 21:04:50.003687,thick,olive,,,,f,,{},info,128,51,4
336,2019-10-10 21:05:33.067403,red,button,,,,f,,{},info,126,53,3
261,2019-10-10 21:04:51.449494,yellow,shelf,,,,f,,{},info,129,100,3
338,2019-10-10 21:05:33.683091,,,,,,f,,{},info,37,37,"{{plastic,scissor,a},{bright,moon,a},{hot,house,a},{purple,screw,a},{green,lime,a},{sunny,seat,a},{pink,gown,a},{dirty,tank,a},{brown,eye,an},{naked,baby,a},{red,engine,an},{green,suit,a},{red,cheek,a},{red,dog,a},{red,eye,an},{concrete,cake,a},{pinky,toe,a},{upstairs,crib,a},{red,stripe,a},{dirty,soup,NA}}"
263,2019-10-10 21:04:52.132326,dark,color,,,,f,,{},info,129,100,3
265,2019-10-10 21:04:53.454607,green,triangle,,,,f,,{},info,118,64,4
1050,2019-10-10 21:12:25.72987,green,cookie,,,,f,,{},info,166,103,1
266,2019-10-10 21:04:54.031966,purple,chair,,,,f,,{},info,125,12,3
341,2019-10-10 21:05:36.180941,green,jungle,,,,f,,{},info,128,51,7
270,2019-10-10 21:04:55.452502,red,popsicle,,,,f,,{},info,126,53,5
979,2019-10-10 21:11:57.814591,pink,gown,,,,f,,{},info,163,37,3
279,2019-10-10 21:04:59.668251,yellow,frog,,,,f,,{},info,125,12,2
345,2019-10-10 21:05:37.42695,plastic,scissor,,,,f,,{},info,133,37,3
280,2019-10-10 21:04:59.827491,red,brick,,,,f,,{},info,127,109,5
283,2019-10-10 21:05:01.238681,red,board,,,,f,,{},info,126,53,3
296,2019-10-10 21:05:09.173486,red,gate,,,,f,,{},info,127,109,2
1003,2019-10-10 21:12:06.973222,hot,chip,,,,f,,{},info,159,34,2
297,2019-10-10 21:05:10.543743,hot,chicken,,,,f,,{},info,129,100,3
311,2019-10-10 21:05:17.90698,dirty,dump,,,,f,,{},info,129,100,3
981,2019-10-10 21:11:58.45894,hip,bone,,,,f,,{},info,159,34,2
315,2019-10-10 21:05:20.269117,gold,star,,,,f,,{},info,127,109,4
317,2019-10-10 21:05:21.39717,dirty,hand,,,,f,,{},info,129,100,3
323,2019-10-10 21:05:25.454435,green,peanut,,,,f,,{},info,126,53,2
987,2019-10-10 21:12:01.366224,red,person,,,,f,,{},info,166,103,2
346,2019-10-10 21:05:38.269331,fuzzy,bone,,,,f,,{},info,126,53,2
348,2019-10-10 21:05:39.015997,solid,tomato,,,,f,,{},info,131,50,3
1038,2019-10-10 21:12:20.803553,hot,turtle,,,,f,,{},info,161,36,3
351,2019-10-10 21:05:41.486549,hot,swing,,,,f,,{},info,127,109,3
988,2019-10-10 21:12:01.760342,purple,spot,,,,f,,{},info,162,30,2
355,2019-10-10 21:05:44.493998,upstairs,dress,,,,f,,{},info,131,50,2
995,2019-10-10 21:12:04.538379,red,edge,,,,f,,{},info,159,34,2
1020,2019-10-10 21:12:13.454948,yellow,hose,,,,f,,{},info,165,93,4
